5.0688,-1.5411
5.0498,-1.5289
5.0303,-1.514
5.0145,-1.5026
4.9969,-1.4891
4.9779,-1.4755
4.9575,-1.458
4.9387,-1.4432
4.9166,-1.4259
4.8931,-1.4086
4.8662,-1.3892
4.8366,-1.3675
4.8064,-1.346
4.7766,-1.3215
4.7482,-1.2981
4.7145,-1.2756
4.6807,-1.2526
4.651,-1.2321
4.6184,-1.2095
4.587,-1.1866
4.5591,-1.1648
4.5332,-1.1429
4.5038,-1.1194
4.4757,-1.0958
4.4494,-1.0707
4.4253,-1.047
4.405,-1.0243
4.3883,-1.0025
4.3766,-0.98447
4.36,-0.96559
4.3473,-0.94565
4.3377,-0.92731
4.3292,-0.91173
4.3208,-0.89566
4.3142,-0.87888
4.3041,-0.85814
4.292,-0.83765
4.2802,-0.81567
4.2712,-0.79199
4.2609,-0.7679
4.253,-0.74628
4.2461,-0.72561
4.2387,-0.70305
4.2305,-0.67878
4.2239,-0.65302
4.2183,-0.62901
4.2134,-0.60717
4.2072,-0.58196
4.2019,-0.55379
4.1955,-0.52748
4.19,-0.50037
4.1857,-0.47286
4.1834,-0.44535
4.1807,-0.4198
4.1795,-0.39682
4.1773,-0.37257
4.1757,-0.3446
4.175,-0.31929
4.1752,-0.29243
4.1766,-0.27038
4.1766,-0.24764
4.1766,-0.22173
4.1766,-0.19462
4.1766,-0.16977
4.1766,-0.14473
4.1766,-0.11702
4.1766,-0.091669
4.1766,-0.066222
4.1766,-0.038211
4.1766,-0.0096004
4.1766,0.019211
4.1766,0.043197
4.1766,0.069245
4.1752,0.093691
4.175,0.119
4.1757,0.14627
4.1759,0.1738
4.1778,0.19696
4.1812,0.21863
4.1857,0.24165
4.1909,0.26141
4.1964,0.28233
4.2006,0.30442
4.2055,0.3248
4.2108,0.34524
4.2157,0.36152
4.2185,0.38152
4.221,0.40279
4.224,0.41842
4.2267,0.43652
4.2296,0.45306
4.2369,0.46693
4.2451,0.48297
4.2544,0.49845
4.265,0.51663
4.2752,0.53927
4.286,0.56528
4.3036,0.58756
4.3231,0.61251
4.3436,0.63596
4.3643,0.66142
4.3881,0.68046
4.4099,0.69504
4.4299,0.70998
4.4507,0.72567
4.4724,0.73967
4.4923,0.75412
4.5115,0.76834
4.5286,0.78332
4.5458,0.80025
4.5656,0.81443
4.5891,0.8271
4.6122,0.8426
4.6361,0.85639
4.6593,0.86396
4.684,0.86963
4.7059,0.87772
4.7283,0.88677
4.7533,0.89708
4.7789,0.90609
4.8046,0.91586
4.8284,0.9209
4.8525,0.92615
4.8787,0.93346
4.9052,0.94027
4.9314,0.94863
4.9569,0.95464
4.9809,0.96035
5.0017,0.96475
5.024,0.97298
5.0444,0.98131
5.0678,0.98914
5.0922,0.99587
5.117,1.0009
5.1417,1.0036
5.1657,1.0034
5.1914,1.0059
5.2169,1.0076
5.2404,1.0085
5.2642,1.0082
5.285,1.0082
5.3058,1.0116
5.3285,1.0113
5.3532,1.011
5.3803,1.0056
5.4099,0.99761
5.4425,0.98682
5.4768,0.97152
5.5105,0.95624
5.5449,0.93822
5.5789,0.9164
5.6098,0.8959
5.6347,0.87924
5.6613,0.8605
5.6874,0.83872
5.7205,0.81313
5.7564,0.77991
5.792,0.75028
5.8288,0.71292
5.8627,0.67768
5.8977,0.64094
5.9312,0.6037
5.9633,0.57003
5.9929,0.53649
6.0191,0.50566
6.0386,0.48315
6.0532,0.46113
6.0694,0.43758
6.0856,0.41167
6.1034,0.38537
6.1204,0.35906
6.1356,0.33621
6.1507,0.30974
6.1651,0.28604
6.1792,0.264
6.1928,0.23809
6.2066,0.21334
6.2203,0.18729
6.2333,0.16211
6.2452,0.13552
6.257,0.10526
6.2671,0.078134
6.2778,0.049003
6.2891,0.017369
6.2996,-0.012644
6.3096,-0.044198
6.319,-0.078755
6.328,-0.11159
6.3352,-0.14683
6.3408,-0.18547
6.3477,-0.22545
6.3561,-0.2692
6.3622,-0.30846
6.3705,-0.35445
6.3788,-0.39722
6.3861,-0.43872
6.3928,-0.47917
6.3995,-0.52318
6.4051,-0.56482
6.4116,-0.60873
6.4169,-0.6551
6.4229,-0.6982
6.4278,-0.74443
6.431,-0.78826
6.4346,-0.83341
6.437,-0.87319
