3.2746,2.8775
3.3658,2.8768
3.4255,2.876
3.4754,2.8772
3.5296,2.879
3.5844,2.8799
3.6295,2.88
3.6708,2.8804
3.7108,2.8805
3.7458,2.8805
3.7742,2.8777
3.7961,2.8724
3.8171,2.8672
3.8342,2.861
3.8513,2.8542
3.8678,2.8436
3.8826,2.8309
3.8978,2.816
3.9116,2.7991
3.9298,2.7799
3.9477,2.7579
3.965,2.7383
3.9821,2.7158
3.9978,2.6925
4.0128,2.6677
4.0263,2.6427
4.0366,2.6191
4.044,2.5959
4.0512,2.5723
4.0578,2.547
4.0613,2.5203
4.0641,2.4909
4.0656,2.4588
4.0676,2.4229
4.0682,2.3849
4.0687,2.3492
4.0696,2.3142
4.0701,2.2803
4.0699,2.2432
4.0691,2.2046
4.0691,2.1636
4.0691,2.1231
4.0691,2.0824
4.0691,2.0425
4.0691,2.0013
4.0691,1.9573
4.0683,1.9124
4.0681,1.867
4.0686,1.8221
4.0695,1.7806
4.0708,1.7434
4.0723,1.7064
4.0741,1.67
4.0758,1.6364
4.0775,1.605
4.0791,1.5761
4.0804,1.5484
4.0821,1.5213
4.0836,1.4927
4.0831,1.4593
4.0809,1.4247
4.0795,1.3885
4.0776,1.3522
4.0741,1.316
4.0692,1.283
4.0635,1.2522
4.059,1.2274
4.0532,1.2058
4.0466,1.1889
4.0399,1.1738
4.0337,1.1606
4.0287,1.1475
4.0239,1.1351
4.019,1.1218
4.0153,1.1094
4.0131,1.0961
4.0113,1.0834
4.0095,1.0664
4.0086,1.0524
4.0089,1.0402
4.0105,1.0398
4.0105,1.0487
4.0105,1.0686
4.0105,1.0997
4.0089,1.1417
4.0086,1.1942
4.0095,1.2564
4.013,1.3235
4.0167,1.3917
4.019,1.4609
4.0202,1.5277
4.0202,1.5886
4.0192,1.6484
4.0174,1.7024
4.0147,1.7589
4.0113,1.815
4.0074,1.8714
4.003,1.9289
3.9982,1.9851
3.9964,2.0411
3.9962,2.0969
3.998,2.1519
3.9988,2.2081
3.9988,2.2676
3.9988,2.3234
3.9988,2.379
3.9988,2.4338
3.9988,2.4842
3.9963,2.5354
3.9943,2.5824
3.9929,2.6179
3.9953,2.6396
4.0014,2.6419
4.0109,2.6253
4.0234,2.5919
4.0385,2.5429
4.0548,2.4814
4.0739,2.4098
4.0942,2.3289
4.1141,2.2496
4.1321,2.1736
4.1489,2.1019
4.1595,2.0366
4.1665,1.9741
4.1685,1.9129
4.1697,1.8566
4.166,1.8001
4.1585,1.7453
4.148,1.6963
4.1357,1.6507
4.1236,1.6102
4.1131,1.5741
4.1035,1.5418
4.0956,1.5144
4.0902,1.4898
4.0883,1.4686
4.0857,1.4461
4.0838,1.424
4.0824,1.403
4.0825,1.3837
4.0812,1.3613
4.0803,1.3405
4.0798,1.3205
4.08,1.3009
4.0808,1.282
4.0808,1.2615
4.0808,1.2396
4.0808,1.2167
4.0816,1.1944
4.0818,1.1738
4.083,1.1521
4.0831,1.132
4.0852,1.1131
4.0846,1.0953
4.0858,1.0796
4.0783,1.0664
4.0593,1.0548
4.0316,1.0466
4.0009,1.0387
3.967,1.0316
3.9275,1.0262
3.8761,1.0233
3.8165,1.0221
3.7517,1.0215
3.687,1.0207
3.6248,1.0188
3.5626,1.0148
3.4969,1.0086
3.4365,1.0011
3.3771,0.99135
3.3236,0.98089
3.2679,0.97044
3.2103,0.96067
3.1479,0.95229
3.0807,0.94598
3.0117,0.94244
2.9423,0.9406
2.8763,0.93926
2.8142,0.93968
2.754,0.94121
2.6919,0.94311
2.6373,0.94452
2.5985,0.94621
2.5709,0.94718
2.5442,0.94806
2.5024,0.95026
2.4544,0.95344
2.4077,0.95726
2.3605,0.96136
2.3155,0.96451
2.267,0.968
2.2207,0.97048
2.178,0.9749
2.1383,0.97989
2.1064,0.985
