-5.208821,1.757857,0.216301,-1.060054
-5.206363,1.737631,0.088345,-1.099724
-5.206079,1.716617,-0.031437,-1.137071
-5.207866,1.694841,-0.141662,-1.168719
-5.211529,1.672429,-0.242099,-1.189594
-5.216836,1.649621,-0.332549,-1.195138
-5.223575,1.626714,-0.412895,-1.183491
-5.231591,1.604002,-0.483591,-1.155894
-5.240784,1.581732,-0.545720,-1.115860
-5.251099,1.560091,-0.600610,-1.067989
-5.262491,1.539197,-0.649369,-1.016930
-5.274906,1.519109,-0.692705,-0.966665
-5.288272,1.499834,-0.731040,-0.920161
-5.302503,1.481335,-0.764789,-0.879324
-5.317505,1.463545,-0.794579,-0.845158
-5.333190,1.446375,-0.821339,-0.818031
-5.349486,1.429728,-0.846235,-0.797930
-5.366337,1.413497,-0.870486,-0.784640
-5.383716,1.397573,-0.895126,-0.777797
-5.401614,1.381848,-0.920752,-0.776844
-5.420039,1.366216,-0.947329,-0.780935
-5.439002,1.350587,-0.974116,-0.788858
-5.458507,1.334889,-0.999748,-0.799055
-5.478536,1.319077,-1.022462,-0.809733
-5.499042,1.303140,-1.040413,-0.819082
-5.519946,1.287098,-1.051977,-0.825528
-5.541139,1.271001,-1.055969,-0.827960
-5.562488,1.254917,-1.051726,-0.825894
-5.583842,1.238927,-1.039065,-0.819537
-5.605041,1.223106,-1.018154,-0.809746
-5.625918,1.207515,-0.989351,-0.797882
-5.646303,1.192192,-0.953058,-0.785586
-5.666028,1.177141,-0.909624,-0.774524
-5.684923,1.162332,-0.859341,-0.766147
-5.702822,1.147708,-0.802527,-0.761548
-5.719559,1.133186,-0.739684,-0.761429
-5.734979,1.118668,-0.671672,-0.766163
-5.748951,1.104047,-0.599774,-0.775871
-5.761377,1.089213,-0.525584,-0.790428
-5.772208,1.074064,-0.450674,-0.809333
-5.781439,1.058508,-0.376100,-0.831510
-5.789104,1.042476,-0.301900,-0.855125
-5.795247,1.025933,-0.226748,-0.877563
-5.799893,1.008889,-0.147869,-0.895616
-5.803012,0.991405,-0.061236,-0.905875
-5.804486,0.973595,0.038070,-0.905264
-5.804075,0.955619,0.155458,-0.891621
-5.801388,0.937678,0.296459,-0.864202
-5.795858,0.919997,0.466068,-0.823903
-5.786748,0.902838,0.667011,-0.773016
-5.773246,0.886511,0.896227,-0.714493
-5.754694,0.871383,1.140956,-0.651054
-5.730921,0.857789,1.379072,-0.584468
-5.702399,0.845913,1.586671,-0.515025
-5.670057,0.835765,1.747859,-0.441166
-5.634928,0.827299,1.858904,-0.359530
-5.597905,0.820538,1.925558,-0.265789
-5.559660,0.815640,1.957753,-0.156243
-5.520669,0.812880,1.965247,-0.029567
-5.481271,0.812604,1.955540,0.112257
-5.441736,0.815148,1.933863,0.264391
-5.402314,0.820761,1.904282,0.420674
-5.363246,0.829551,1.870573,0.575163
-5.324743,0.841479,1.835973,0.722773
-5.286960,0.856377,1.802045,0.859060
-5.249993,0.873982,1.767802,0.979957
-5.213909,0.893963,1.730022,1.082051
-5.178786,0.915940,1.684761,1.163305
-5.144735,0.939515,1.629199,1.223649
-5.111906,0.964298,1.562869,1.265003
-5.080470,0.989929,1.487740,1.290654
-5.050583,1.016094,1.407267,1.304223
-5.022350,1.042533,1.325048,1.308660
-4.995814,1.069033,1.243843,1.305686
-4.970963,1.095416,1.165326,1.295870
-4.947746,1.121522,1.090420,1.279196
-4.926092,1.147202,1.019823,1.255769
-4.905910,1.172312,0.954375,1.226348
-4.887094,1.196732,0.895165,1.192546
-4.869512,1.220378,0.843449,1.156723
-4.853006,1.243216,0.800494,1.121687
-4.837386,1.265274,0.767404,1.090307
-4.822441,1.286642,0.744956,1.065116
